ID	GENE_SYMBOL
799	LOC100507055
800	POLE3
801	XLOC_002402
802	XLOC_003349
803	GOT1
804	UNC119B
805	CLEC1B
806	SNORA84
807	XLOC_010293
808	LOC100652766
809	XLOC_l2_000941
810	XLOC_003428
812	RBAK
813	STEAP1
814	MBD5
815	RPL36A-HNRNPH2
816	XLOC_005466
817	XLOC_006625
819	XLOC_013942
821	FMNL3
822	PEX11B
823	VASP
824	XLOC_003677
825	GRIN2A
826	METTL17
827	EXOSC3
829	TBK1
830	XLOC_000022
832	KLF4
834	PHLDA1
835	CSRP2BP
836	SOBP
838	LOC100131094
839	CEACAM4
840	XLOC_008770
841	TSN
842	XLOC_000869
843	POLR2M
844	RNU4ATAC
845	SNORD74
846	GAD1
848	SALL4
849	XLOC_000473
850	PLAU
852	KRT6B
854	CCDC11
855	XLOC_013743
857	EIF4G2
858	LOC388692
860	BAAT
861	CD19
862	ZNF765
863	XLOC_000293
864	HCN4
865	LOC730101
866	LOC730102
867	XLOC_l2_013427
869	PSMC6
870	CFHR3
871	GDNF
872	LOC100506233
873	RAB2B
874	LRRC8D
876	RPP40
878	TOP2A
879	CTAGE10P
880	XLOC_008833
881	EEF1E1
882	THNSL1
883	XLOC_l2_005997
885	PRDX1
886	SLC46A2
888	NACC2
889	TTC32
890	LOC389831
891	METTL13
892	C17orf69
893	LINC00511
894	SLC45A4
895	LOC100505853
896	GNAI1
900	OAZ2
901	AGT
902	PAR1
903	XLOC_l2_009469
904	SDHC
905	ATP6V1C2
906	RXFP2
907	PCSK7
909	SEBOX
910	LOC100507520
911	LOC100129781
912	INCA1
913	S1PR5
914	SCGB3A1
915	TERT
916	LOC100506325
917	YWHAH
918	RAB1A
919	LOC100289137
920	TMEM212
921	PABPC4
922	DMAP1
924	LARP6
926	XLOC_012095
927	YTHDF3
928	HACE1
929	LOC100652974
930	TGOLN2
931	USP8
932	RPAP3
933	FANCA
934	TRIM42
935	XLOC_l2_007595
936	RGMA
937	XLOC_003480
938	XLOC_008573
940	C2orf29
941	ABL2
942	SEC22C
943	XLOC_014001
944	C1orf21
945	XLOC_008561
946	XLOC_l2_003897
947	MAP2
948	SPAG5
949	TNFRSF11B
951	GAS7
952	RELA
953	CAND2
955	FGA
956	MXRA7
957	XLOC_005405
958	XLOC_003431
959	GFM1
960	XLOC_000974
961	FAM176A
962	XLOC_010962
963	GSTTP1
964	PPFIA1
965	LILRA1
966	CYP4Z1
967	FADS1
968	XLOC_003305
969	TOM1L2
970	XLOC_006935
971	XLOC_l2_001011
973	XLOC_l2_011415
974	UBE2B
975	NUP62CL
976	PPP2CA
977	SERPING1
978	XLOC_012408
979	XLOC_011403
981	C1orf81
983	WNK2
985	IL1B
988	MYO3A
989	PLA2G4A
990	PHF20L1
991	GREB1L
992	RPS23
993	CMKLR1
994	KCNQ2
995	C14orf180
997	ZNF45
998	XLOC_002577
999	KRTAP1-3
1000	XLOC_009911
1001	XLOC_011170
1002	ERCC5
1003	KIAA1704
1004	XLOC_014072
1005	KIF6
1007	HKR1
1008	LOC283392
1009	ROR1
1010	XLOC_000856
1011	XLOC_l2_015177
1012	C12orf74
1013	KLHL9
1014	PHF14
1015	KEL
1016	DGCR9
1017	LOC652276
1018	ZMYM2
1019	FTO
1020	XLOC_001365
1021	XLOC_007462
1022	CDK1
1023	ORMDL3
1024	XLOC_l2_003626
1025	XLOC_005633
1026	IRX2
1027	UGT2B11
1028	CXCL1
1029	HDDC3
1030	XLOC_003165
1031	PPP1R7
1032	TCP1
1033	ABCC13
1034	C14orf167
1036	OR7E19P
1037	XLOC_l2_002651
1039	GRB10
1040	PTPMT1
1041	LOC100527964
1042	LOC100287506
1043	ADAMTS7
1044	SLC44A1
1045	ZFP92
1046	ELMO1
1047	XLOC_002063
1048	VPS13B
1049	SHMT1
1050	NRP1
1051	XLOC_l2_007783
1053	HNRNPUL2
1054	MGST2
1055	XLOC_007676
1056	HRH4
1058	XLOC_011548
1059	XLOC_010707
1060	HIST1H4E
1061	GFRA1
1062	DNAJC13
1063	GNG11
1064	FAM131A
1065	ROGDI
1066	RLTPR
1067	TOR3A
1069	SLC8A1
1070	NOTCH4
1071	CFHR1
1072	PKIB
1073	DUSP8
1074	XLOC_005473
1075	IL2
1076	FLJ33534
1078	TSPAN19
1079	XLOC_l2_014697
1080	XLOC_013489
1081	OTUD7A
1082	XLOC_003512
1083	MID1
1084	LINC00239
1086	LOC100132731
1087	XLOC_009112
1088	ASPSCR1
1089	TM9SF3
1090	SHD
1091	AKAP5
1093	ATG13
1094	XLOC_008730
1095	LOC100506660
1096	AARS
1097	ZNF175
1098	ZNF599
1100	TMC2
1101	SUGT1
1102	NAV2-AS4
1104	XLOC_l2_007359
1105	SF3B2
1106	XLOC_l2_008343
1107	C5orf30
1108	PRR15L
1109	PDCD6IP
1110	UBE3A
1111	GUSB
1112	LOC100302650
1113	CLCN2
1114	LOC100506393
1115	OR5M1
1116	XLOC_006844
1117	CCNG2
1118	GRIN2C
1119	NLRC4
1120	C9orf3
1121	SAMD4A
1122	XLOC_000036
1124	GALNT10
1125	Q81CU5
1126	BTNL3
1127	METTL18
1130	ST8SIA1
1131	LOC100506328
1132	COQ10B
1133	SYCE3
1134	HDAC6
1135	OR2AT4
1136	LALBA
1137	AGBL4
1138	LOC286058
1139	SLC6A4
1140	XLOC_013776
1141	LOC100130894
1142	NFIA
1144	CD53
1145	UPF2
1146	PRODH
1147	MGC11082
1148	CD48
1149	LOC389607
1151	XLOC_010696
1152	CDCP1
1153	ARL9
1154	NBEAL1
1155	ZCRB1
1157	LOC284408
1158	XLOC_002433
1159	CWF19L2
1160	C17orf69
1161	EMP2
1162	IKZF2
1163	LMOD2
1164	RFPL3-AS1
1165	XLOC_010439
1166	RXFP2
1168	SNORA59B
1169	XLOC_007438
1170	TMEM176A
1171	HERC5
1172	APH1A
1173	C6orf35
1174	LOC728763
1175	TSC1
1176	LOC645195
1177	JAKMIP1
1178	FAM189B
1179	XLOC_012631
1180	XLOC_l2_015172
1181	CNTNAP1
1182	SPPL2B
1183	DNAH5
1184	PLA2G4A
1186	UBE2F
1187	C9orf47
1188	SLFN12
1189	HSP90AB2P
1190	SIX6
1191	LOC100506462
1192	XLOC_003809
1193	ZNF503-AS1
1194	EIF3C
1195	NDUFA4
1196	PDE11A
1198	RBM12B
1199	PON3
1200	XLOC_l2_005503
1201	BCL2L10
1202	C1orf70
1203	GFPT2
1204	XLOC_011592
1205	INCENP
1206	IL10RA
1207	LOC728208
1209	FUCA1
1210	XLOC_009451
1211	TPT1
1212	HBXIP
1213	MUSK
1214	TTC13
1215	ZNF185
1216	MANSC4
1217	XLOC_006567
1218	ARG1
1219	KRTAP9-6
1220	SLIT3
1221	XLOC_013541
1222	ZNF577
1223	XLOC_004201
1224	XLOC_008225
1225	DNAJC3
1226	HMGN5
1227	BRCA2
1228	MAVS
1229	XLOC_001197
1230	DAND5
1231	FAAH2
1232	FLJ10038
1233	XLOC_010284
1234	ANKMY1
1236	CDK2
1238	RNF223
1240	NHLRC3
1241	SMPD1
1242	LOC339988
1243	XLOC_007189
1244	HSP90B3P
1246	EFCAB4B
1248	LOC643201
1249	TAS2R20
1250	C17orf62
1251	XLOC_003305
1252	SSX3
1254	XLOC_000776
1255	COL4A3BP
1256	TJP2
1257	XLOC_012171
1258	XLOC_003204
1259	CHD8
1260	XLOC_007178
1261	LYZL4
1262	XLOC_005747
1263	TMEM163
1265	XLOC_005263
1268	OTOL1
1269	C1orf124
1271	FAM205B
1272	CAPN5
1273	EPB41L4B
1274	PQBP1
1275	SUSD3
1276	XLOC_004651
1277	XLOC_010585
1278	MGC16142
1280	XLOC_007283
1281	FOXO3
1282	BCL2L13
1283	VAMP1
1285	UQCR11
1286	COL22A1
1287	ANK2
1288	LOC100287718
1289	XLOC_000814
1290	NME7
1291	LAMB1
1292	CCDC129
1293	XLOC_002184
1295	TCEAL6
1296	CDH3
1297	DOLK
1298	XLOC_009677
1300	UFSP1
1301	XLOC_003917
1303	XLOC_001287
1304	HLA-DQB1
1305	XLOC_l2_002886
1307	ZNF655
1308	XLOC_008054
1310	TTC3
1311	XLOC_009913
1312	FAM108A1
1313	ZNF461
1314	CRTC2
1315	PRO0628
1317	XLOC_l2_006449
1318	NPIP
1319	XLOC_008604
1320	TBL1Y
1321	SMTNL2
1322	LOC100287765
1323	XLOC_013647
1324	CYBB
1325	HMBS
1326	XLOC_007775
1328	LOC349196
